area,community,assault,burglary,deception,motortheft,narcotics,robbery,morning,afternoon,evening,night
1,Rogers Park,22,27,21,13,2,17,91,86,71,90
2,West Ridge,30,21,33,34,4,11,62,98,65,118
3,Uptown ,26,13,27,11,4,7,75,73,61,84
4,Lincoln Square,13,13,21,7,3,10,40,50,40,48
5,North Center,3,5,14,3,3,4,15,24,22,34
6,Lake View,20,42,63,23,2,21,108,101,106,156
7,Lincoln Park,8,25,36,15,12,9,72,111,103,99
8,Near North Side,34,12,160,35,1,13,168,303,209,325
9,Edison Park,1,0,2,1,3,1,4,5,7,9
10,Norwood Park,5,6,16,1,5,0,23,25,21,29
11,Jefferson Park,6,8,19,3,1,4,22,27,31,40
12,Forest Glen,2,8,9,4,1,0,9,12,5,15
13,North Park,4,5,9,3,3,5,18,31,16,26
14,Albany Park,6,8,6,23,10,15,30,58,41,78
15,Portage Park,14,24,30,25,2,6,62,69,59,95
16,Irving Park,12,18,13,20,5,9,47,67,63,93
17,Dunning,7,20,10,7,16,7,27,26,33,52
18,Montclare,1,9,1,3,2,3,14,11,15,20
19,Belmont Cragin,30,50,21,55,7,21,96,120,103,129
20,Hermosa,7,15,8,16,104,8,29,37,30,57
21,Avondale,7,28,18,22,4,17,65,42,46,67
22,Logan Square,25,50,32,39,124,48,101,110,143,161
23,Humboldt Park,47,30,27,57,82,49,173,180,162,214
24,West Town,38,72,63,36,73,26,166,205,209,209
25,Austin,107,65,64,70,15,81,309,391,307,389
26,West Garfield Park,25,11,19,22,122,24,101,117,121,142
27,East Garfield Park,30,17,10,28,10,21,105,133,106,123
28,Near West Side,30,24,73,61,3,47,188,221,216,184
29,North Lawndale,55,22,24,36,6,35,173,237,175,223
30,South Lawndale,26,29,12,21,3,27,68,111,95,106
31,Lower West Side,17,29,9,10,6,9,57,62,52,77
32,Loop,37,8,124,9,2,23,136,349,223,112
33,Near South Side,8,2,18,9,9,3,39,46,33,34
34,Armour Square,4,8,4,3,1,12,22,26,15,23
35,Douglas,22,7,25,7,5,11,79,73,51,58
36,Oakland,3,1,5,3,1,2,11,14,12,18
37,Fuller Park,5,1,1,5,11,5,15,15,15,15
38,Boulevard,21,16,16,13,15,8,66,72,53,80
39,Kenwood,7,7,13,6,13,7,36,41,28,49
40,Washington Park,21,6,7,10,15,16,49,51,40,51
41,Hyde Park,8,7,15,6,2,7,35,41,35,39
42,Woodlawn,24,25,10,10,23,24,71,82,63,104
43,South Shore,70,45,45,33,3,47,185,190,165,214
44,Chatham,39,35,26,19,1,18,137,161,104,176
45,Avalon Park,9,9,11,3,3,5,40,30,26,40
46,South Chicago,30,15,16,29,8,16,87,90,99,123
47,Burnside,4,0,1,1,1,0,5,10,5,7
48,Calumet Heights,5,13,13,5,6,13,21,25,23,47
49,Roseland,54,36,26,20,2,37,129,181,124,175
50,Pullman,10,1,6,6,13,0,19,20,24,22
51,South Deering,12,2,7,7,7,8,25,47,36,39
52,East Side,10,9,5,8,3,3,22,38,29,46
53,West Pullman,19,29,12,16,15,23,97,90,51,104
54,Riverdale,13,4,1,8,4,5,30,36,21,35
55,Hegewisch,5,1,2,6,6,1,29,15,12,27
56,Garfield Ridge,7,7,18,7,1,3,36,35,33,43
57,Archer Heights,3,3,6,5,4,4,14,34,12,24
58,Brighton Park,12,14,10,11,12,11,49,56,33,78
59,Mckinley Park,10,5,6,7,35,1,19,27,26,31
60,Bridgeport,15,12,6,6,22,5,24,33,35,36
61,New City,23,23,16,18,23,21,81,104,103,125
62,West Elsdon,5,13,6,11,1,11,37,24,31,33
63,Gage Park,20,17,20,6,35,9,55,57,42,79
64,Clearing,3,10,7,2,1,1,16,12,17,24
65,West Lawn,6,13,7,21,4,10,53,53,50,59
66,Chicago Lawn,32,38,34,26,4,23,118,136,113,154
67,West Englewood,50,22,24,13,5,34,123,164,120,149
68,Englewood,44,31,13,21,6,25,110,132,107,165
69,Greater Grand Crossing,57,31,25,24,,44,138,153,128,184
70,Ashburn,12,18,20,44,,20,78,70,54,81
71,Auburn Gresham,54,16,31,28,,29,151,188,151,204
72,Beverly,2,8,12,4,,2,24,29,17,17
73,Washington Heights,13,18,21,7,,10,60,68,71,68
74,Mount Greenwood,6,3,4,0,,1,18,11,6,15
75,Morgan Park,11,16,18,16,,10,52,51,49,70
76,Ohare,7,1,11,4,,0,39,40,23,23
77,Edgewater,15,13,31,13,,10,46,75,69,86
