AREA,community,abbr,Arson,assault,burglary,deception,motortheft,narcotics,robbery,weapons,morning,afternoon,evening,night,total
5,North Center,NC,0,3,5,14,3,3,4,1,15,24,22,34,95
41,Hyde Park,HP,1,8,7,15,6,2,7,1,35,41,35,39,150
33,Near South Side,SS,0,8,2,18,9,9,3,0,39,46,33,34,152
39,Kenwood,KE,0,7,7,13,6,13,7,0,36,41,28,49,154
4,Lincoln Square,LS,0,13,13,21,7,3,10,2,40,50,40,48,178
14,Albany Park,AP,0,6,8,6,23,10,15,5,30,58,41,78,207
21,Avondale,AV,1,7,28,18,22,4,17,1,65,42,46,67,220
16,Irving Park,IP,3,12,18,13,20,5,9,1,47,67,63,93,270
77,Edgewater,ED,0,15,13,31,13,,10,2,46,75,69,86,276
3,Uptown ,UP,0,26,13,27,11,4,7,2,75,73,61,84,293
1,Rogers Park,RP,0,22,27,21,13,2,17,3,91,86,71,90,338
2,West Ridge,WR,0,30,21,33,34,4,11,3,62,98,65,118,343
7,Lincoln Park,LP,1,8,25,36,15,12,9,0,72,111,103,99,385
46,South Chicago,SC,1,30,15,16,29,8,16,14,87,90,99,123,399
27,East Garfield Park,EG,3,30,17,10,28,10,21,11,105,133,106,123,467
6,Lake View,LK,0,20,42,63,23,2,21,1,108,101,106,156,471
68,Englewood,EN,3,44,31,13,21,6,25,12,110,132,107,165,514
22,Logan Square,LS,1,25,50,32,39,124,48,2,101,110,143,161,515
23,Humboldt Park,HP,4,47,30,27,57,82,49,16,173,180,162,214,729
43,South Shore,SH,1,70,45,45,33,3,47,10,185,190,165,214,754
24,West Town,WT,1,38,72,63,36,73,26,0,166,205,209,209,789
28,Near West Side,WS,0,30,24,73,61,3,47,5,188,221,216,184,809
32,Loop,LO,0,37,8,124,9,2,23,0,136,349,223,112,820
8,Near North Side,NS,0,34,12,160,35,1,13,5,168,303,209,325,1005
25,Austin,AU,3,107,65,64,70,15,81,27,309,391,307,389,1396
